index,Ch0,Ch1
99925,1776,1761
99926,1776,1759
99927,1776,1759
99928,1777,1762
99929,1777,1759
99930,1776,1760
99931,1778,1762
99932,1776,1761
99933,1777,1762
99934,1776,1760
99935,1777,1758
99936,1776,1762
99937,1776,1759
99938,1776,1759
99939,1776,1763
99940,1776,1761
99941,1775,1761
99942,1776,1761
99943,1776,1759
99944,1775,1761
99945,1776,1763
99946,1776,1760
99947,1776,1761
99948,1776,1758
99949,1776,1760
99950,1776,1761
99951,1777,1761
99952,1777,1759
99953,1777,1759
99954,1779,1759
99955,1778,1760
99956,1777,1761
99957,1777,1760
99958,1778,1759
99959,1778,1760
99960,1777,1761
99961,1778,1758
99962,1777,1758
99963,1776,1758
99964,1776,1758
99965,1776,1760
99966,1776,1758
99967,1776,1761
99968,1776,1759
99969,1776,1758
99970,1775,1760
99971,1776,1760
99972,1776,1760
99973,1776,1759
99974,1776,1760
99975,1776,1760
99976,1775,1758
99977,1776,1759
99978,1775,1755
99979,1776,1759
99980,1777,1759
99981,1776,1760
99982,1776,1759
99983,1776,1760
99984,1776,1760
99985,1776,1760
99986,1776,1760
99987,1776,1758
99988,1776,1760
99989,1776,1763
99990,1776,1762
99991,1776,1760
99992,1776,1759
99993,1777,1757
99994,1777,1761
99995,1776,1760
99996,1778,1759
99997,1779,1758
99998,1776,1759
99999,1776,1759
100000,1776,1762
100001,1777,1758
100002,1776,1758
100003,1776,1759
100004,1777,1760
100005,1776,1760
100006,1776,1761
100007,1776,1759
100008,1776,1761
100009,1776,1760
100010,1777,1759
100011,1776,1759
100012,1776,1758
100013,1776,1759
100014,1776,1759
100015,1776,1758
100016,1775,1759
100017,1774,1760
100018,1774,1759
100019,1776,1760
100020,1776,1759
100021,1776,1760
100022,1776,1760
100023,1776,1759
100024,1776,1759
100025,1776,1760
100026,1776,1760
100027,1776,1759
100028,1777,1759
100029,1776,1759
100030,1776,1758
100031,1776,1763
100032,1776,1761
100033,1778,1760
100034,1779,1760
100035,1776,1759
100036,1777,1759
100037,1779,1760
100038,1777,1762
100039,1778,1758
100040,1777,1759
100041,1778,1759
100042,1778,1760
100043,1777,1759
100044,1779,1760
100045,1778,1758
100046,1777,1761
100047,1776,1760
100048,1776,1760
