index,Ch0,Ch1
170133,1777,1764
170134,1778,1764
170135,1776,1762
170136,1777,1762
170137,1778,1764
170138,1778,1762
170139,1780,1763
170140,1778,1762
170141,1777,1763
170142,1779,1764
170143,1779,1762
170144,1780,1761
170145,1779,1763
170146,1779,1761
170147,1781,1764
170148,1780,1761
170149,1780,1762
170150,1778,1761
170151,1777,1762
170152,1776,1762
170153,1777,1762
170154,1776,1763
170155,1776,1762
170156,1777,1764
170157,1776,1764
170158,1776,1761
170159,1776,1763
170160,1776,1763
170161,1776,1763
170162,1776,1762
170163,1775,1763
170164,1776,1761
170165,1775,1763
170166,1776,1762
170167,1776,1763
170168,1776,1761
170169,1776,1762
170170,1776,1763
170171,1777,1762
170172,1777,1762
170173,1777,1761
170174,1777,1763
170175,1779,1765
170176,1779,1761
170177,1781,1762
170178,1781,1763
170179,1782,1761
170180,1779,1760
170181,1781,1760
170182,1779,1761
170183,1782,1762
170184,1781,1761
170185,1781,1762
170186,1780,1760
170187,1779,1760
170188,1778,1761
170189,1776,1760
170190,1778,1761
170191,1776,1762
170192,1776,1760
170193,1777,1760
170194,1777,1763
170195,1776,1762
170196,1776,1766
170197,1776,1765
170198,1776,1762
170199,1776,1763
170200,1776,1762
170201,1776,1761
170202,1776,1762
170203,1776,1761
170204,1775,1763
170205,1776,1764
170206,1776,1763
170207,1776,1761
170208,1776,1764
170209,1777,1764
170210,1779,1762
170211,1777,1764
170212,1779,1761
170213,1777,1762
170214,1777,1762
170215,1778,1759
170216,1779,1763
170217,1779,1763
170218,1780,1761
170219,1778,1763
170220,1778,1759
170221,1778,1762
170222,1779,1763
170223,1778,1762
170224,1776,1763
170225,1778,1760
170226,1779,1762
170227,1779,1763
170228,1777,1762
170229,1777,1761
170230,1776,1763
170231,1776,1762
170232,1776,1761
170233,1776,1763
170234,1776,1762
170235,1776,1762
170236,1776,1765
170237,1777,1762
170238,1777,1764
170239,1777,1764
170240,1776,1763
170241,1776,1763
170242,1776,1762
170243,1776,1759
170244,1776,1763
170245,1776,1765
170246,1776,1762
170247,1777,1762
170248,1776,1763
170249,1776,1763
170250,1777,1763
170251,1776,1761
170252,1778,1762
170253,1777,1763
170254,1778,1761
170255,1781,1764
170256,1781,1765
170257,1780,1763
170258,1778,1765
170259,1780,1764
170260,1783,1765
170261,1779,1763
170262,1781,1763
170263,1781,1763
170264,1778,1762
170265,1777,1762
170266,1779,1762
170267,1778,1763
170268,1778,1761
170269,1777,1760
170270,1781,1762
170271,1776,1761
170272,1778,1763
170273,1776,1762
170274,1778,1762
170275,1777,1760
170276,1777,1763
170277,1776,1761
170278,1776,1761
170279,1776,1762
170280,1776,1763
170281,1776,1763
170282,1776,1763
170283,1776,1763
170284,1776,1763
170285,1776,1761
170286,1776,1763
170287,1776,1765
170288,1777,1762
170289,1776,1761
170290,1777,1763
170291,1778,1764
170292,1781,1763
170293,1777,1763
170294,1779,1765
170295,1779,1762
170296,1779,1763
170297,1778,1762
170298,1780,1764
170299,1781,1765
170300,1782,1763
170301,1779,1766
170302,1782,1765
170303,1779,1763
170304,1779,1763
170305,1778,1763
170306,1777,1764
170307,1777,1762
170308,1779,1765
170309,1776,1763
170310,1776,1763
170311,1778,1762
170312,1776,1763
170313,1777,1765
170314,1776,1762
170315,1777,1764
170316,1777,1763
170317,1777,1763
170318,1776,1763
170319,1776,1763
170320,1776,1763
170321,1776,1764
170322,1776,1763
170323,1776,1762
170324,1776,1763
170325,1778,1762
170326,1776,1765
170327,1777,1762
170328,1777,1763
170329,1776,1762
170330,1779,1764
170331,1779,1765
170332,1779,1762
170333,1778,1765
170334,1779,1763
170335,1781,1763
170336,1778,1765
170337,1783,1764
170338,1779,1764
170339,1779,1763
170340,1781,1764
170341,1779,1762
170342,1779,1761
170343,1779,1763
170344,1778,1762
170345,1777,1762
170346,1776,1764
170347,1776,1762
170348,1777,1763
170349,1777,1762
170350,1777,1763
170351,1776,1765
170352,1776,1763
170353,1776,1761
170354,1776,1762
170355,1776,1764
170356,1776,1762
170357,1776,1760
170358,1776,1761
170359,1776,1763
170360,1776,1765
170361,1776,1761
170362,1775,1763
170363,1776,1762
170364,1776,1763
170365,1776,1762
170366,1778,1762
170367,1776,1763
170368,1777,1761
170369,1777,1760
170370,1778,1762
170371,1776,1763
170372,1776,1763
170373,1776,1761
170374,1777,1762
170375,1780,1762
170376,1778,1762
170377,1778,1764
170378,1781,1764
